"","id","name","description","menus_appeared","times_appeared","first_appeared","last_appeared","lowest_price","highest_price"
"145",153,"Malaga grapes",NA,351,353,1882,1941,0.1,40
"146",154,"Martineaus",NA,7,7,1890,1900,0.4,0.4
"147",155,"Oatmeal",NA,532,610,1,1988,0,20
"148",156,"hominy with milk",NA,33,33,1900,1943,0,0
"149",157,"Baked apples",NA,263,265,1865,1972,0.05,20
"151",159,"Chicken broth, per cup",NA,7,7,1900,1915,0.2,0.3
"152",160,"Terrapin, Maryland",NA,100,112,1887,1917,0.65,350
"153",161,"Sardines on toast",NA,62,62,1881,1964,0,0.5
"154",162,"English snipe",NA,94,94,1882,1907,0.45,60
"155",163,"Charlotte Russe",NA,822,898,1851,1973,0,30
"156",164,"Tutti frutti",NA,125,138,1883,1969,0.2,25
"157",165,"Lady fingers",NA,341,348,1858,1949,0.05,15
"158",166,"Marrow bones on toast",NA,13,13,1887,1910,0,0
"159",167,"Fresh mushrooms on toast",NA,58,59,1891,1952,0.4,50
"161",169,"Club sandwich",NA,639,657,1896,2928,0,40
"163",171,"Thon marine",NA,43,43,1896,1957,0.25,0.5
"164",172,"Croquettes of sweetbreads",NA,7,7,1885,1900,1,1
"165",173,"Teal duck",NA,125,127,1889,1908,0.6,125
"166",174,"Demi-tasse",NA,851,878,1892,1979,0,15
"167",175,"Strawberry",NA,98,103,1865,1973,0,4.25
"168",176,"Oyster Bay asparagus",NA,271,279,1895,1941,0.15,75
"173",181,"Chicken broth",NA,401,412,1881,1971,0,50
"174",182,"Fruits in Season",NA,135,136,1889,1987,0,3.95
"178",186,"Plain Omelette",NA,322,355,1881,1987,0,15
"179",187,"Canape, Martha",NA,10,10,1900,1915,0.4,0.65
"180",190,"Puree of beans",NA,6,6,1900,1918,0.1,0.1
"181",191,"Fried Flounders",NA,10,10,1900,1901,0.15,15
"182",192,"Strawberry short cake",NA,278,282,1882,1987,0,125
"183",193,"Fried smelts",NA,148,148,1858,1960,0,2.5
"186",196,"BUZZARD BAY OYSTERS",NA,62,62,1898,1907,0.2,0.6
"187",197,"Strained gumbo",NA,34,35,1895,1969,0.25,30
"188",198,"Bouillon in cup",NA,5,5,1890,1900,0.1,0.15
"189",199,"Queen olives",NA,689,706,1865,1965,0,15
"190",200,"Chow chow",NA,676,687,1865,1965,0,20
"192",202,"German fried potatoes",NA,136,142,1898,1969,0.05,0.5
"193",203,"Ribs of prime beef",NA,141,143,1891,1921,0.25,50
"194",204,"Calf's tongue, caper sauce",NA,2,2,1900,1900,0,0
"196",211,"Assorted cakes",NA,1329,1353,1880,2012,0,30
"197",212,"Scollops en caisse, Supreme",NA,2,2,1900,1900,0.4,0.4
"198",213,"Irish stew",NA,160,190,1864,1955,0,0.5
"199",214,"Marrow on toast, Bordelaise",NA,5,5,1900,1900,0,0
"200",215,"Lobster salad",NA,1510,1565,1858,1995,0,100
"201",216,"Potato salad",NA,1305,1336,1881,1987,0,25
"202",217,"Chicken salad",NA,1807,1877,1858,1987,0,100
"203",218,"Spinach with egg",NA,211,217,1896,1965,0.1,20
"204",219,"Boiled potatoes",NA,2071,2126,1858,1974,0,20
"205",220,"Baba au rhum",NA,103,108,1882,1985,0,25
"206",221,"Hot buns",NA,10,10,1900,1901,0.1,0.1
"207",222,"Tongue",NA,692,733,1851,1965,0,95
"208",223,"Lemon ice cream",NA,133,133,1852,1981,0,25
"209",224,"Pickled lambs' tongues",NA,54,54,1895,1962,0.3,0.5
"210",225,"Blackberry tarts",NA,4,4,1881,1900,0.15,0.15
"211",226,"Apricots",NA,241,251,1883,2012,0,0.75
"213",228,"Chipped beef",NA,55,55,1892,1953,0,40
"214",229,"Turkey",NA,434,445,1851,1987,0,80
"215",230,"Crackers",NA,966,986,1854,1987,0,10
"216",231,"Chocolate",NA,1490,1569,1858,1987,0,30
"217",232,"Roast beef",NA,1222,1331,1851,1987,0,75
"218",233,"Corned beef",NA,820,878,1862,1985,0,50
"219",234,"Boned capon",NA,136,136,1892,1917,0.4,60
"220",235,"Lamb",NA,427,437,1865,1949,0,60
"222",237,"Chicken",NA,679,819,1866,1985,0,125
"223",238,"Fried Eggs",NA,550,565,1856,1987,0,20
"224",239,"Broiled Ham",NA,621,634,1,1970,0,25
"225",240,"Roast veal",NA,69,73,1856,1957,0,20
"226",241,"Rolls",NA,433,496,1881,1989,0,2.5
"227",242,"Griddle cakes",NA,128,138,1858,1987,0,3.85
"228",244,"Porterhouse Steak",NA,260,266,1884,1962,0,5
"229",245,"Pommes de Terre a la Creme",NA,4,4,1900,1906,0.3,0.3
"230",246,"Tenderloin Steak",NA,588,610,1858,1980,0.15,80
"231",247,"Sirloin Steak",NA,912,929,1,1987,0,235
"233",249,"All Kinds of Pies per cut",NA,2,2,1900,1900,0.05,0.05
"234",251,"Sandwiches of all Kinds",NA,2,2,1900,1900,0,0
"235",252,"Small Steak",NA,383,389,1892,1957,0,75
"236",253,"Hamburger Steak",NA,319,360,1893,1987,0,20
"237",254,"Veal Chops or Cutlets",NA,3,3,1900,1900,0.3,0.5
"238",256,"Pork Chops",NA,408,433,1853,1988,0,40
"239",257,"Ham & Eggs",NA,24,24,1881,1964,0,4.95
"240",258,"Bacon & Eggs",NA,26,26,1900,1957,0,4.75
"241",259,"Fried Liver",NA,29,31,1856,1961,0,10
"242",260,"German Pancake",NA,206,212,1889,1969,0.15,3.95
"244",265,"Stewed",NA,48,54,1,1918,0.1,15
"245",266,"Box Stew",NA,90,95,1892,1939,0.2,40
"246",270,"Hominy",NA,421,510,1,1969,0.1,0.35
"248",272,"Eggs au Beurre Noir",NA,45,46,1896,1941,0.19,30
"250",275,"Sirloin Steak with Mushrooms",NA,231,233,1884,1939,0,75
"255",280,"Corn Cakes",NA,146,148,1,1953,0.02,0.55
"256",281,"Marmalade",NA,718,751,1888,1973,0,25
"258",283,"Cocoa",NA,1636,1704,1865,1987,0,25
"259",284,"Oat Meal",NA,68,81,1880,1957,0.1,0.4
"260",286,"Scrambled Eggs",NA,571,586,1853,1987,0,28
"261",287,"Poached Eggs on Toast",NA,348,352,1892,1968,0,20
"262",288,"Broiled Fresh Mackerel",NA,120,132,1887,1962,0,2.5
"265",293,"Lyonnaise Potatoes",NA,727,745,1,1989,0,30
"266",298,"Baked Weakfish",NA,3,3,1900,1901,0.15,0.15
"270",315,"Dry Toast",NA,719,743,1856,1981,0,10
"272",317,"Graham Muffins",NA,60,60,1897,1940,0.1,0.2
"278",326,"Paysanne",NA,4,4,1900,1914,0.25,0.4
"283",332,"Roast Lamb",NA,201,204,1851,1957,0,80
"287",336,"oatmeal with cream",NA,104,104,1897,1952,0.1,25
"288",337,"broiled shad",NA,119,125,1881,1940,0.25,60
"289",338,"Milk stew",NA,47,51,1894,1947,0.2,40
"290",339,"Boston Stew",NA,77,84,1900,1939,0.2,0.6
"292",343,"Beef Steak",NA,58,58,1865,1944,0,1
"293",344,"Saratoga Chips",NA,414,443,1881,1969,0.05,0.3
"296",348,"Smelts",NA,93,95,1,1998,0.15,50
"298",350,"Sausage",NA,55,57,1894,1987,0,25
"300",352,"Buckwheat Cakes",NA,346,350,1,1962,0,20
"301",353,"Sliced Pineapples",NA,3,3,1896,1918,0.25,0.25
"303",355,"Broiled Salt Mackerel",NA,131,136,1859,1949,0,0.8
"304",356,"Shad roe and bacon",NA,64,66,1899,1963,0.2,3.5
"307",359,"Steak Pie",NA,4,4,1901,1917,0.15,0.2
"308",360,"Mutton",NA,282,328,1865,1917,0.15,60
"309",364,"Boston Box Stew",NA,7,7,1900,1919,0.3,0.4
"310",365,"Fry",NA,30,36,1900,1919,0.15,50
"311",366,"Fry with Bacon",NA,11,11,1900,1919,0.35,0.6
"312",367,"Oyster Omelette",NA,71,85,1892,1946,0.2,25
"313",368,"Stewed Tripe",NA,37,38,1856,1943,0.1,10
"315",370,"Corned Beef Hash",NA,615,674,1,1959,0.1,25
"317",372,"Mock Turtle",NA,140,142,1865,1966,0,40
"319",375,"Puree of Tomatoes",NA,104,105,1866,1939,0.1,0.4
"321",377,"Consomme Plain",NA,30,30,1887,1937,0.15,25
"333",389,"Consomme Printanier",NA,47,52,1891,1959,0,0.4
"336",393,"Blue Point Stew",NA,3,3,1900,1917,0.35,0.35
"337",394,"French bread",NA,291,293,1882,1970,0.05,0.15
"338",395,"Corn bread",NA,270,272,1853,1941,0,10
"339",396,"Crumb Fry",NA,8,10,1900,1919,0.3,0.45
"340",397,"English Beef",NA,12,12,1900,1913,0.1,0.4
"341",398,"Beef Stew",NA,83,93,1899,1980,0,15
"342",399,"Tomato Soup",NA,317,352,1852,1974,0,10
"343",400,"Blue Point Fry",NA,2,2,1901,1917,0.35,0.4
"350",408,"GREEN PEAS",NA,1340,1377,1858,1985,0,75
"353",411,"Ham omelette",NA,147,153,1891,1985,0,15
"354",412,"Fried hominy",NA,190,190,1881,1967,0.1,0.25
"355",413,"Broiled bluefish",NA,218,226,1880,1963,0.2,60
"358",417,"Boiled or Broiled Salt Mackerel",NA,13,13,1900,1917,0.25,40
"359",418,"Whitefish",NA,44,45,1900,1917,0.3,0.75
"361",420,"Codfish in Cream",NA,89,90,1,1941,0,0.6
"362",421,"Fried Scollops",NA,36,36,1865,1917,0.25,0.85
"363",422,"Breakfast Bacon",NA,188,191,1891,1969,0.15,0.75
"364",423,"Calf's Liver and Bacon",NA,362,374,1,1967,0,40
"366",425,"English Mutton Chops",NA,82,82,1889,1958,0.25,50
"367",426,"Broiled Spring Chicken",NA,226,231,1859,1958,0.1,100
"369",429,"Corned Beef Hash, Browned",NA,59,61,1898,1940,0.15,30
"370",430,"Veal Cutlets, Breaded, Tomato Sauce",NA,31,31,1882,1913,0.2,1
"372",432,"Frizzled Beef, in Cream",NA,6,6,1900,1901,0.3,0.4
"375",439,"French Fried",NA,63,65,1893,1973,0,30
"376",440,"Lyonnaise",NA,103,105,1894,1967,0,35
"377",441,"Stewed in Cream",NA,26,27,1900,2928,0.15,40
"378",442,"Saute",NA,29,30,1900,1961,0.15,15
"380",444,"Shredded Wheat Biscuits",NA,33,33,1899,1921,0,0.3
"381",445,"Vienna Rolls",NA,143,144,1891,1954,0.03,0.15
"384",448,"Corn Meal Mush",NA,29,29,1892,1918,0.1,0.1
"385",449,"Boiled",NA,53,54,1851,1967,0,25
"386",450,"Scotch grouse en casserole",NA,3,3,1900,1900,0,0
