"","id","name","description","menus_appeared","times_appeared","first_appeared","last_appeared","lowest_price","highest_price"
"18030",22746,"Culmbacher",NA,5,5,1900,1901,0,0
"18032",22748,"Hochepot a la Eude",NA,3,3,1900,1900,0,0
"18037",22755,"Evans' India Pale Ale",NA,31,31,1889,1917,0.2,0.3
"18043",22763,"2 Poached Eggs on Toast",NA,32,32,1899,1987,0,20
"18060",22781,"Delatour's Plain Soda",NA,5,5,1881,1901,0.1,0.2
"18068",22789,"Pommard Bruninghaus",NA,4,4,1900,1900,1,2
"18079",22800,"Lithia Water",NA,7,7,1893,1914,0.05,0.25
"18080",22801,"Mineral Water",NA,45,47,1895,1988,0,1.6
"18097",22819,"Piper Heidsieck Brut Extra",NA,54,54,1897,1910,1.4,4
"18115",22840,"Baked Alaska, to order",NA,6,6,1896,1900,0.6,0.75
"18128",22853,"Scotch Whisky, glass",NA,2,2,1901,1901,0.15,0.2
"18130",22855,"Whisky, glass",NA,2,2,1901,1901,0.15,0.15
"18132",22857,"Volnay",NA,55,56,1881,1915,0,16.5
"18135",22860,"Assorted nuts and raisins",NA,28,28,1882,1938,0.1,0.5
"18140",22865,"Preserves: Peaches",NA,2,2,1900,1900,0.25,0.4
"18141",22866,"Preserves: Pears",NA,2,2,1900,1900,0.25,0.4
"18165",22891,"Chartreuse, Yellow and Green",NA,28,28,1891,1914,0.12,1.5
"18166",22892,"Cheese: American",NA,5,5,1900,1933,0.1,0.3
"18167",22893,"Cheese: Roquefort",NA,5,5,1900,1919,0.15,0.5
"18176",22903,"Cheese: Neufchatel",NA,2,2,1900,1901,0.1,0.25
"18180",22907,"Frankfurters, Sauerkraut",NA,6,6,1900,1957,0.15,1.5
"18181",22908,"Frankfurters, Potato Salad",NA,5,5,1900,1957,0.15,1.5
"18187",22917,"Poached eggs with bacon",NA,7,8,1900,1937,0,0.5
"18188",22918,"Fried eggs with bacon",NA,35,35,1900,1977,0,3.1
"18190",22920,"Broiled sardines",NA,13,13,1900,1919,0,0.9
"18201",22934,"Milk Stew oysters",NA,3,3,1900,1900,0,0
"18222",22957,"Fried Scallops, Sauce Chantilly",NA,3,3,1900,1900,0.35,0.6
"18225",22960,"Oyster Crabs, Fried",NA,11,11,1897,1905,0.6,1
"18226",22961,"Schweizer",NA,15,15,1900,1969,0,0.4
"18228",22964,"Cream of Chicken a la Reine",NA,47,50,1891,1961,0.15,2
"18233",22971,"Bacon and three eggs",NA,4,4,1900,1900,0.35,0.35
"18238",22976,"Smoked mackerel",NA,14,14,1900,1939,0,50
"18254",23001,"Lettuce and Tomatoes Salad",NA,28,28,1899,1950,0.15,0.5
"18255",23005,"Manhattan Salad",NA,12,12,1900,1963,0.3,0.6
"18257",23008,"Fetticus Salad",NA,26,31,1892,1917,0.2,0.5
"18269",23028,"Hock",NA,37,38,1865,1974,0,2.75
"18325",23097,"Polonaise Salad",NA,4,4,1900,1910,0.6,0.75
"18350",23131,"Minestra",NA,9,10,1900,1955,0.3,0.5
"18354",23138,"Saddle of Southdown Mutton, Currant Jelly",NA,7,7,1896,1925,0.5,60
"18358",23145,"Apple Souffle",NA,13,13,1900,1914,0.3,0.5
"18364",23157,"Roast Duckling",NA,34,34,1881,1984,0,250
"18378",23174,"Currant Cake",NA,24,24,1884,1917,0.05,0.25
"18382",23178,"Cauliflower, Hollandaise Sauce",NA,14,14,1893,1918,0.25,0.75
"18397",23201,"English breakfast tea, per cup",NA,9,9,1882,1901,0.05,0.1
"18398",23203,"Oolong tea, per cup",NA,6,6,1882,1901,0.05,0.1
"18408",23219,"Cauliflower Cream Sauce",NA,7,7,1895,1928,0.05,0.15
"18421",23236,"Celery soup",NA,9,9,1887,1938,0,0
"18444",23269,"Mumm's Extra Dry Champagne",NA,22,22,1891,1962,1.75,14.5
"18448",23273,"Roast Spring Chicken with Dressing",NA,5,5,1896,1961,0.5,1.2
"18449",23274,"Roast Teal Duck",NA,10,11,1896,1913,0.9,0.9
"18462",23292,"Perrier-Jouet Reserved Dry",NA,4,4,1901,1901,1.75,3.5
"18470",23301,"Little Neck Clam Fritters",NA,41,42,1900,1917,0.2,0.5
"18472",23303,"Perrier-Jouet Reserve, Dry",NA,5,5,1900,1900,1.75,3.5
"18474",23308,"with Whipped Cream",NA,2,2,1905,1905,0,0
"18482",23321,"Maraschino Sorbet",NA,15,15,1896,1962,0.25,0.4
"18484",23323,"Lalla Rookh Sorbet",NA,11,13,1900,1917,0.25,0.4
"18485",23324,"A l'arack Sorbet",NA,3,3,1900,1900,0.4,0.4
"18487",23326,"Small Tenderloin Steak with truffles",NA,2,2,1900,1901,0,0
"18510",23353,"Pousse l'Amour",NA,2,2,1892,1941,0.25,0.5
"18513",23357,"Oysters stewed",NA,20,20,1865,1906,0.2,0.4
"18514",23358,"Oysters milk stew",NA,4,4,1900,1900,0.25,0.35
"18515",23359,"Oysters Boston stew",NA,7,7,1900,1901,0.25,0.35
"18517",23361,"Oysters steamed",NA,13,13,1865,1940,0.25,1.1
"18519",23363,"Stewed scallops",NA,5,5,1900,1900,0.2,0.3
"18520",23364,"Saddle rocks, stewed",NA,4,4,1892,1900,0.3,0.4
"18521",23365,"Saddle rocks, fried",NA,5,5,1892,1900,0.35,0.4
"18522",23366,"English Chops, brace",NA,2,2,1900,1900,0,0
"18523",23367,"English Chops, single",NA,3,3,1900,1900,0.35,0.35
"18524",23368,"Mutton Kidneys on Toast",NA,3,3,1900,1900,0.25,0.25
"18526",23370,"Pork Chops breaded with tomato sauce",NA,4,4,1900,1900,0,0
"18527",23371,"Hamburger steak with tomato sauce",NA,4,4,1900,1900,0.4,0.4
"18528",23372,"Ham and two eggs",NA,6,6,1900,1953,0.3,0.85
"18529",23373,"Ham and three eggs",NA,4,4,1900,1900,0.35,0.35
"18530",23374,"Salade a la Haan",NA,9,9,1900,1901,0.35,0.6
"18531",23375,"Porterhouse for two with tomato sauce",NA,3,3,1900,1900,0,0
"18532",23376,"Porterhouse for two with onions",NA,3,3,1900,1900,1.4,1.4
"18533",23377,"Porterhouse for two with mushrooms",NA,4,4,1899,1900,1.5,2
"18534",23378,"Single Porterhouse with tomato sauce",NA,4,4,1900,1900,0,0
"18535",23379,"Single Porterhouse with onions",NA,5,5,1900,1901,0,0
"18537",23381,"Single Porterhouse with mushrooms",NA,5,5,1900,1901,0.8,1.4
"18538",23382,"Lamb Chops, plain (3)",NA,3,3,1900,1900,0.4,0.4
"18539",23383,"Lamb chops with onions",NA,5,5,1900,1905,0.45,0.5
"18543",23387,"Tenderloin with tomato sauce",NA,4,4,1900,1900,0.45,0.6
"18545",23389,"Split pea soup",NA,49,53,1889,1987,0.1,1.55
"18551",23398,"Oysters, Stew",NA,11,11,1889,1916,0.2,0.3
"18552",23399,"Oysters, Stewed in cream",NA,2,2,1900,1901,0.4,0.4
"18554",23404,"parfait glace au mocha",NA,5,5,1900,1900,0.25,0.25
"18555",23405,"Sago Pudding, Fruit Sauce",NA,8,8,1900,1901,0,0
"18557",23407,"Ofner Adelsberger",NA,7,7,1900,1901,0,0
"18561",23411,"Jameson's Irish Whisky",NA,6,6,1900,1901,0.15,1.5
"18567",23418,"Tutti fruitti",NA,4,4,1900,1900,0,0
"18568",23419,"Lemon or orange ice",NA,6,6,1900,1918,0.2,0.25
"18569",23420,"Mousse glacee au chocolat",NA,9,9,1900,1959,0.25,0.3
"18570",23421,"Philadelphia",NA,12,12,1900,1969,0.2,4
"18573",23424,"Congress-Water",NA,37,37,1900,1900,0,1.25
"18593",23445,"Porterhouse steak, double",NA,23,23,1900,1918,1.5,4.5
"18599",23451,"Veal chop tomato sauce",NA,2,2,1900,1900,0.6,0.6
"18601",23453,"Sweetbreads, with peas",NA,8,8,1891,1917,0.5,1.25
"18602",23454,"Sweetbreads, croquettes",NA,2,2,1900,1901,0.4,0.6
"18604",23456,"Sweetbreads, croquettes with peas",NA,2,2,1900,1901,0.5,0.75
"18605",23457,"Sweetbread tomato sauce",NA,2,2,1884,1900,0.8,0.8
"18614",23468,"Small tenderloin steak aux truffes",NA,2,2,1900,1901,1,1
"18616",23470,"Filet chateaubriant aux truffes",NA,2,2,1900,1901,2,3
"18617",23471,"Filet chateaubriant a la parisienne",NA,2,2,1901,1901,0,0
"18618",23472,"Lamb chops breaded, French peas",NA,4,4,1900,1915,0.6,1
"18628",23483,"Maraschino Sherbet",NA,13,13,1900,1933,0.25,0.6
"18632",23487,"Lemon Punch",NA,6,6,1900,1906,0.1,0.25
"18633",23488,"Brandy Sauce",NA,8,8,1899,1919,0.25,0.25
"18641",23500,"Stewed carrots in cream",NA,14,14,1900,1918,0.2,0.3
"18646",23508,"Baked Spaghetti",NA,6,6,1900,1917,0.3,0.5
"18676",23557,"Petits Pois Francaise",NA,12,12,1892,1964,0.5,0.5
"18695",23577,"Smoked Bloaters",NA,3,3,1900,1900,25,40
"18709",23593,"Creamed Carrots",NA,33,34,1900,1961,0,0.7
"18728",23616,"CHICKEN, MAYONNAISE",NA,6,6,1900,1921,0.45,1
"18733",23621,"Prime Bone Sirloin",NA,7,7,1900,1900,0.35,0.35
"18739",23628,"Pork  """,NA,2,2,1900,1900,0.2,40
"18750",23643,"French """,NA,1,1,1900,1900,0.1,0.1
"18751",23644,"Lyonnaise """,NA,1,1,1900,1900,0.1,0.1
"18753",23647,"Hashed Fried Potatoes",NA,11,11,1896,1918,0.1,0.3
"18757",23651,"Fried Bermuda Onions",NA,9,9,1900,1957,0.1,0.75
"18758",23653,"California Asparagus",NA,30,35,1900,1955,0,1
"18770",23674,"Cocoanut Cream Pie",NA,26,31,1900,1980,0.1,3.25
"18811",23732,"Venison, Port Wine Sauce",NA,3,3,1900,1900,1,1
"18819",23753,"Orange Mousse",NA,9,9,1900,1917,0.35,0.6
"18827",23770,"Mashed browned potatoes",NA,4,4,1896,1900,0.3,0.3
"18855",23820,"Very Old",NA,4,4,1896,1901,0,3
"18864",23831,"Roast Veal, with Dressing",NA,2,2,1900,1900,0,0
"18877",23847,"Indian Mush",NA,4,4,1900,1901,0.15,0.2
"18888",23862,"Boiled Leg Mutton Caper Sauce",NA,3,3,1900,1900,0.2,0.2
"18917",23909,"Ham, with Eggs",NA,4,4,1900,1901,0.4,0.5
"18923",23916,"Chicken, whole",NA,9,9,1900,1937,0,125
"18935",23937,"Gorgonzola Cheese",NA,400,435,1892,1981,0,35
"18941",23943,"Sweet Limes",NA,3,3,1896,1900,0.4,0.4
"18955",23986,"Eggs, fried two",NA,3,3,1900,1901,0.2,0.2
"18956",23987,"Eggs fried, three",NA,3,3,1900,1901,0.2,0.3
"18961",23993,"Codfish cake",NA,11,11,1900,1940,0.15,0.5
"18968",24006,"Eggs, poached, plain",NA,6,6,1900,1901,0.2,0.25
"18972",24012,"Consomme' Julienne",NA,2,2,1900,1901,0.1,0.2
"18976",24016,"Omelette, with fine herbs",NA,13,13,1892,1914,0.3,0.5
"18977",24017,"Broiled bass",NA,8,8,1900,1948,0.25,1.75
"18989",24030,"Two Eggs, any style",NA,16,17,1900,1969,0,10
"18992",24035,"Hominy fried",NA,10,10,1900,1900,0.15,0.2
"18995",24039,"Cracked wheat with milk",NA,3,3,1900,1901,0,0
"19008",24053,"Roast Philadelphia Capon",NA,29,29,1896,1952,0.5,1.05
"19022",24069,"Old Tom Gin, Glass",NA,9,9,1900,1900,0.15,0.2
"19030",24078,"Bread or rolls",NA,18,18,1900,1946,0.05,0.15
"19035",24083,"Indian meal mush with cream",NA,6,6,1900,1913,0.2,0.35
"19038",24087,"Sausage cake",NA,11,11,1900,1913,0.2,0.65
"19039",24088,"Hathorn Water, Pints",NA,2,2,1900,1900,0.2,0.25
"19043",24094,"Russian punch",NA,5,5,1900,1927,0.2,0.3
"19047",24099,"Coffee small pot",NA,13,13,1900,1917,0.15,0.2
"19081",24164,"Hashed corned beef, browned",NA,5,5,1900,1900,0.35,50
"19083",24166,"Chowder",NA,10,10,1899,1980,0.1,1.95
"19086",24169,"Little Neck Clams on half-shell",NA,2,2,1900,1900,0,0
"19088",24171,"Fried or Broiled fresh Mackerel",NA,4,4,1900,1901,0,0
"19090",24173,"Soft Shell Crab on Toast",NA,3,3,1900,1938,0.2,0.2
"19092",24175,"Fish Cakes with fried egg",NA,2,2,1900,1900,0.15,0.15
"19095",24178,"Montferrand",NA,8,8,1900,1912,0.5,1
"19097",24180,"Broiled Weakfish & bacon",NA,2,2,1900,1900,0,0
"19100",24184,"Fried Fresh Mackerel",NA,16,20,1896,1917,0.2,0.35
"19102",24186,"Prime Rib Beef, asparagus & new potatoes",NA,1,1,1900,1900,0,0
"19104",24189,"Roast Shoulder of Lamb, green peas",NA,5,5,1900,1900,0.25,0.25
"19105",24190,"Boiled New England Dinner",NA,25,27,1895,1962,0.2,0.95
"19106",24192,"Boston baked beans, and brown bread",NA,4,4,1900,1900,0.15,0.15
"19109",24195,"Château Margaux, 1887",NA,5,5,1900,1907,1.5,3.5
"19110",24198,"Lamb Stew and green peas",NA,2,2,1900,1900,0,0
"19111",24200,"Chateau Lafaurie",NA,3,3,1892,1901,1.25,2.5
"19117",24209,"Chateau Belgrave",NA,3,3,1892,1901,0.75,2
"19120",24212,"Codfish, Oyster Sauce",NA,6,6,1892,1901,0.5,0.5
"19124",24216,"Poached Eggs on Hash",NA,7,7,1900,1900,0.3,0.3
"19126",24218,"Poached Eggs on Fish Cakes",NA,9,9,1889,1907,0,0
"19134",24227,"French Pan Cake",NA,12,12,1900,1916,0.2,40
"19135",24228,"German Pan Cake",NA,32,32,1892,1917,0.2,40
"19137",24230,"Boston Oyster Stew",NA,20,20,1892,1917,0.2,0.4
"19145",24238,"Pommes de Terre Lyonnaise",NA,13,13,1900,1963,0,30
"19146",24239,"Broiled veal kidneys",NA,6,6,1900,1917,0.3,0.8
"19147",24240,"Pan Roast Oysters",NA,50,50,1893,1947,0.25,30
"19148",24241,"Little Neck Clams on the half shell",NA,15,15,1893,1969,0.2,0.9
"19149",24242,"Pommes de Terre Hachees a la Creme ",NA,3,3,1900,1905,0,0
"19152",24246,"Turkey and salad",NA,1,1,1901,1901,0.35,0.35
"19153",24247,"Roti de Boeuf",NA,28,35,1896,1917,0.4,0.9
"19156",24250,"Chicken Olive sautee",NA,1,1,1901,1901,0.3,0.3
"19160",24254,"Sirloin of beef and salad",NA,1,1,1901,1901,0.35,0.35
"19163",24257,"Roast beef and salad",NA,3,3,1901,1964,0,0.35
"19165",24259,"Ham and salad",NA,2,2,1901,1964,0,0.3
"19167",24261,"Fish Cakes (Fridays)",NA,5,5,1900,1900,0.1,0.1
"19171",24265,"Ox tail a l'Anglaise",NA,12,12,1899,1919,0.1,0.25
"19175",24269,"Honey or Maple Syrup with Griddle Cakes",NA,3,3,1900,1900,0,0
"19176",24270,"Butter Cakles",NA,1,1,1900,1900,0.05,0.05
"19178",24272,"Corn Muffins and Butter",NA,7,7,1900,1900,0.05,0.05
"19179",24273,"French Rolls and Butter",NA,8,8,1900,1949,0.05,0.1
"19180",24274,"Milk Rolls and Butter",NA,7,7,1900,1900,0,0
"19181",24275,"English Muffins and Butter",NA,7,7,1900,1900,0.05,0.05
"19182",24276,"English Crumpets and Butter",NA,7,7,1900,1900,0.05,0.05
"19183",24277,"Tea Biscuit and Butter",NA,7,7,1900,1900,0.05,0.05
"19184",24278,"Tea Rusk and Butter",NA,6,6,1900,1900,0.05,0.05
"19185",24279,"Extra Bread and Butter",NA,7,7,1900,1900,0,0
"19197",24294,"Bass's Ale, Bugle Brand",NA,4,4,1899,1901,0,0
"19203",24300,"Cerons",NA,8,8,1900,1938,0,75
"19239",24340,"Steinwein in Boxbeutel",NA,9,9,1900,1907,1,2
"19240",24341,"au rhum",NA,3,3,1892,1901,0.35,0.5
"19242",24343,"soufflee",NA,4,4,1900,1933,0.3,50
"19243",24344,"Lamb mint sauce",NA,12,12,1891,1934,0.4,0.75
"19246",24347,"Snow Pudding",NA,19,19,1892,1918,0.05,15
"19247",24348,"Chicken or turkey",NA,3,4,1900,1901,0.15,0.35
"19250",24352,"Poland Rye",NA,4,4,1900,1900,0,0
"19260",24366,"Huckleberries and cream",NA,11,11,1901,1917,0.15,0.35
"19261",24367,"Villanyi",NA,21,21,1899,1913,0.65,2.5
"19262",24368,"Somloi ",NA,3,3,1892,1901,0.6,1.5
"19269",24375,"Strawberries with Ice Cream",NA,10,11,1892,1914,0.15,0.3
"19279",24385,"Niersteiner Rehbach Auslese",NA,3,3,1901,1907,0,0
"19304",24412,"Patties a la Montglas",NA,3,3,1900,1906,0.6,0.6
"19311",24419,"New Corn on Cob",NA,15,15,1900,1949,0.25,0.5
"19319",24427,"Sprouts",NA,13,13,1890,1907,0.05,25
"19336",24453,"Szegzardi ",NA,11,11,1884,1901,0.4,12
"19339",24456,"Bisque of Oysters",NA,36,36,1892,1942,0.25,0.5
"19370",24520,"Roast Wild Duck",NA,4,4,1900,1900,0,0
"19381",24539,"Imported Pilsner Beer",NA,11,13,1900,1939,0.1,0.5
"19403",24566,"Cauliflower, au gratin",NA,28,28,1887,1958,0.15,0.6
"19420",24586,"Oyster steamed",NA,2,2,1900,1901,0.4,0.4
"19425",24592,"Oyster escaloped",NA,2,2,1900,1901,0.4,0.5
"19426",24593,"Oyster à la poulette",NA,2,2,1900,1901,0.4,0.4
"19469",24643,"Potatoes, a la lyonnaise",NA,7,7,1892,1901,0.1,0.15
"19470",24644,"Potatoes, a la duchesse",NA,2,2,1892,1901,0.25,0.25
"19490",24665,"Chicken Fricassee with Mushrooms",NA,8,8,1889,1907,0.8,1.25
"19507",24685,"Cream of barley",NA,19,20,1900,1958,0.25,2
"19514",24695,"Ham with Spinach",NA,11,11,1900,1914,0.25,0.6
"19529",24712,"Roti d'Agneau",NA,4,4,1897,1900,0.4,0.7
"19534",24718,"Poulet",NA,43,51,1891,1958,0,2.6
"19539",24724,"Tomates Farcies",NA,66,66,1880,1938,0.35,35
"19555",24746,"Boiled Salmon",NA,16,16,1896,1926,0.3,0.6
"19564",24758,"Calf's Head",NA,11,11,1889,1907,0,0
"19565",24760,"Chateau Doisy, Barsac",NA,3,3,1892,1901,1,1.5
"19566",24761,"Chateau Paillet",NA,4,4,1892,1901,0.4,1.25
"19587",24787,"Cream Cake",NA,14,14,1882,1943,0.05,0.5
"19593",24793,"Mineral Water, half syphon",NA,3,3,1892,1901,0.15,0.15
"19595",24795,"Mineral Water, glass",NA,3,3,1892,1901,0.1,0.1
"19603",24804,"Perrier-Jouet & Co. Reserve Dry",NA,2,2,1899,1901,2,3.75
"19610",24813,"Louis Roederer's Carte Blanche",NA,3,3,1892,1901,1.75,3.75
"19625",24829,"New Corn",NA,13,13,1897,1933,0.3,30
"19642",24847,"Knickerbin",NA,3,3,1892,1901,0.3,0.3
"19652",24864,"California Riesling",NA,8,8,1900,1939,0.2,1.75
"19653",24865,"California Hock",NA,16,16,1881,1917,0.5,1.5
"19662",24887,"Anheuser-Busch Beer",NA,14,14,1883,1914,0.05,0.5
"19674",24904,"Chicken a la Marengo",NA,28,28,1892,1917,0.5,2
"19675",24905,"Benedectine",NA,3,3,1900,1900,0.2,0.4
"19676",24906,"Yellow Chartreuse",NA,43,44,1883,1972,0.1,2
"19677",24907,"Green Chartreuse",NA,43,43,1883,1973,0.1,1.65
"19681",24911,"White Curacao",NA,57,58,1881,1928,0.15,0.4
"19685",24915,"Cheese muff",NA,3,3,1892,1901,0.4,0.4
"19698",24929,"Sweetbreads a la jardinière",NA,11,11,1889,1901,0.45,1
"19707",24938,"Corned Beef, Cabbage",NA,9,9,1900,1910,0,0
"19719",24952,"Eclairs, chocolate",NA,6,6,1892,1912,0.1,0.15
"19720",24953,"Eclairs, vanilla",NA,5,5,1892,1912,0.1,0.1
"19725",24964,"Jardiniere basket",NA,3,3,1892,1901,0.25,0.25
"19727",24967,"Plum pudding glace",NA,3,3,1892,1901,0,0
"19728",24968,"Pistache parfait",NA,7,7,1901,1917,0.35,0.4
"19747",24997,"Roast Lamb Mint Sauce",NA,17,18,1897,1963,0,0.6
"19748",24998,"Curacao punch",NA,12,12,1892,1917,0.25,0.35
"19750",25002,"Hamburger Steak with 2 Fried Eggs",NA,3,3,1900,1900,0,0
"19754",25007,"Kirschwasser, Curacao",NA,3,3,1892,1901,0.2,0.2
"19758",25012,"Mokaine",NA,3,3,1892,1901,0.2,0.2
"19759",25013,"Vermouth, French & Italian",NA,3,3,1892,1901,0.15,0.15
"19761",25015,"Haut sauternes, 1874",NA,8,8,1900,1901,1,2.5
"19762",25016,"Cold Smoked Tongue",NA,46,46,1864,1957,0.3,0.8
"19763",25017,"Three Lamb Chops",NA,5,5,1900,1900,0.25,0.5
"19764",25018,"Pat de Foie gras",NA,2,2,1900,1900,0.4,0.4
"19766",25020,"Steak a la Tartar",NA,32,33,1900,1945,0.2,1.5
"19767",25021,"Guinness's Stout, E. & J. Burke",NA,6,6,1901,1901,0.3,0.3
"19771",25025,"Brandy, 1865",NA,2,2,1892,1901,0.15,0.4
"19776",25031,"Pommard, C. Marey & Cie",NA,3,3,1892,1901,0,0
"19779",25034,"Sparkling Mosel",NA,5,5,1892,1901,0.75,30
"19792",25051,"Evan's Cream Ale, per toby",NA,3,3,1892,1901,0.2,0.2
"19794",25053,"Evan's Cream Ale, per glass",NA,4,4,1892,1901,0,0
"19795",25054,"Bass's Ale, per toby",NA,4,4,1892,1901,0.25,0.25
"19797",25056,"Bass's Ale, per glass",NA,5,5,1892,1901,0.1,0.1
"19802",25062,"Bullion Maggi",NA,2,2,1900,1900,0.15,0.15
"19813",25073,"Sardines, Smoked",NA,2,2,1900,1900,0.2,0.2
"19814",25074,"Ost Sea Fat Herring",NA,2,2,1900,1900,0.25,0.25
"19816",25076,"Marshall's Tomato Herring",NA,4,4,1900,1944,0.15,0.4
"19817",25077,"Mackereles",NA,2,2,1900,1900,0.25,0.25
"19819",25079,"Kipper",NA,2,2,1900,1900,0.2,0.2
"19820",25080,"Limburger",NA,14,14,1900,1957,0,0.5
"19822",25082,"Two Eggs with Coffee, any style",NA,2,2,1900,1900,0.15,0.15
"19823",25083,"Three Eggs, with Coffee",NA,2,2,1900,1900,0.2,0.2
"19824",25084,"sautee",NA,4,4,1900,1917,0.15,0.2
"19825",25085,"German Pancake, with Jelly",NA,2,2,1900,1900,0.25,0.25
"19826",25086,"Appolianaries",NA,2,2,1900,1900,0.2,0.2
"19827",25087,"Chambertin, Grand Vin",NA,3,3,1901,1901,2.5,5
"19829",25089,"Soda or Sarsaparilla",NA,2,2,1900,1900,0.15,0.15
"19830",25090,"Imported Sarsaparilla",NA,7,7,1893,1906,0.2,0.25
"19832",25093,"Tea de Caucase",NA,2,2,1900,1900,0.15,0.15
"19834",25095,"All kinds of Sandwiches",NA,2,2,1900,1900,0.1,0.1
"19835",25096,"All kinds of Cakes and Pies",NA,2,2,1900,1900,0.05,0.05
"19837",25098,"Preserved Fruit, any kind",NA,2,2,1900,1900,0.15,0.15
"19839",25100,"Duc Montebello Extra Dry",NA,2,2,1900,1900,1.75,3.5
"19843",25105,"Fried half spring chicken, Maryland style",NA,2,2,1901,1901,0,0
"19847",25110,"Feist Cabinet",NA,7,7,1900,1901,1.75,3.5
"19856",25119,"Mineral Water, Syphon",NA,2,2,1892,1901,0,0
"19864",25132,"Walnut Cake",NA,19,19,1890,1955,0.05,0.25
"19875",25145,"Plombiere",NA,40,41,1889,1920,0,0.4
"19886",25161,"Chateau Haut Bages, 1875, Everett House Private Stock",NA,5,5,1900,1900,0,0
"19892",25169,"Latour L'Aspic, 1879, Everett House Private Stock",NA,4,4,1900,1900,3,3
"19893",25171,"Chocolate or vanilla eclairs",NA,3,3,1900,1900,0,0
"19894",25172,"sliced",NA,5,5,1900,1944,0.1,0.25
"19895",25174,"Frangipane (macaroon tart)",NA,6,6,1900,1901,0.15,15
"19902",25182,"Blange a la Haan",NA,7,7,1900,1901,0.25,0.25
"19903",25183,"Blanc mange a la vanille",NA,6,6,1900,1900,0.15,0.15
"19904",25184,"Biscuit, Tortoni",NA,45,45,1900,1918,0.2,0.4
"19905",25185,"Johannesberger Cabinet, Everett House Private Stock",NA,6,6,1900,1900,9,18
"19906",25186,"Cup St. Jacques",NA,10,10,1899,1937,0.25,0.4
"19907",25187,"Tomate",NA,26,31,1891,1955,0,0.75
"19908",25188,"Johannesberger, Everett House Private Stock",NA,4,4,1900,1900,0,0
"19915",25195,"Cresson",NA,34,34,1890,1917,0.25,30
"19917",25197,"Laitue",NA,44,45,1888,1955,0,30
"19919",25199,"Potatoes Fines Herbes",NA,3,3,1900,1907,0.25,0.25
"19920",25200,"Clos des Corvees 1886, Geisweiler & Fils",NA,4,4,1900,1900,0,0
"19926",25206,"Beaujolais, Everett House Private Stock",NA,4,4,1900,1900,0,0
"19931",25211,"Beaune, Everett House Private Stock",NA,4,4,1900,1900,4,4
"19933",25213,"Nuits, Everett House Private Stock",NA,5,5,1900,1900,4,4
"19937",25217,"Corton, 1881, Everett House Private Stock",NA,4,4,1900,1900,4,4
"19941",25221,"Pommes de Terre au Gratin",NA,21,21,1900,1969,0.4,4
"19942",25222,"Chambertin, Everett House Private Stock",NA,5,5,1900,1900,6,6
"19946",25226,"Clos de Vougeot, Everett House Private Stock",NA,5,5,1900,1900,0,0
"19950",25230,"Boned Capon with jelly",NA,17,17,1896,1901,0.3,0.75
"19951",25231,"Chablis, White, Everett House Private Stock",NA,4,4,1900,1900,0,0
"19953",25233,"Vanille",NA,17,17,1896,1955,0,30
"19954",25234,"Celery in cream",NA,17,17,1900,1921,0.2,0.6
"19967",25248,"Haricot Verts",NA,15,15,1880,1953,0.35,0.6
"19969",25250,"BROILED SALMON A LA MAITRE D'HOTEL",NA,5,5,1899,1900,0,0
"19970",25251,"SAUTERNE, Everett House Bottling",NA,3,3,1900,1900,0,0
"19971",25252,"SCOLLOPS SAUTES A LA POULETTE",NA,2,2,1900,1900,0.6,0.6
"19972",25253,"Macaroni a la Napolitaine",NA,8,8,1892,1913,0.25,0.35
"19974",25255,"HAUT SAUTERNES, Everett House Bottling",NA,3,3,1900,1900,0.25,1
"19976",25257,"SWEETBREAD SAUTE A LA MARENGO",NA,3,3,1900,1900,0,0
"19977",25258,"Martillac, Imported",NA,5,5,1900,1900,0.75,0.75
"19978",25259,"NEW STRING BEANS A LA CREME",NA,3,3,1900,1900,0.5,0.5
"19980",25261,"STUFFED GOSLING, APPLE SAUCE",NA,4,4,1900,1900,0.6,1
"19984",25265,"Peach or pear tartlets",NA,6,6,1900,1900,0.15,0.2
"19986",25267,"Latour Blanche, Everett House Private Stock",NA,5,5,1900,1900,6,6
"19987",25268,"Zeltinger, Henkell & Co",NA,2,2,1900,1900,0.65,1.25
"19989",25270,"Graacher Auslese",NA,6,6,1892,1900,1.5,2
"19990",25271,"Scharzberg Muscatell, Leiden & Co",NA,3,3,1900,1900,0,0
"19991",25272,"Americaine",NA,8,8,1900,1972,0.15,0.75
"19992",25273,"Brauneberger, Leiden & Co",NA,4,4,1900,1900,1.5,1.5
"19994",25275,"Sparkling Moselle, Extra Dry",NA,5,5,1900,1900,1.5,1.5
"20006",25287,"Boiled or baked sweet",NA,2,2,1900,1900,0.15,0.25
"20008",25290,"Devilled Whitebait",NA,24,24,1900,1972,0,0.6
"20010",25292,"Greer's Scotch Whiskey",NA,4,4,1900,1900,1.5,2
"20012",25294,"King William Scotch",NA,18,18,1900,1956,0.2,3
"20015",25298,"French artichokes, any style",NA,8,8,1900,1901,0.5,0.6
"20017",25300,"Antediluvian Whiskey, Osborn, Son & Co.'s",NA,4,4,1900,1900,0,0
"20020",25303,"Geneva Gin, ""Extra""",NA,5,5,1900,1900,2,2
"20022",25305,"Chatham Gin",NA,5,5,1900,1900,1.5,2
