id,menu_id
143,12469
144,12469
153,12473
154,12473
155,12474
156,12474
157,12474
158,12474
159,12474
160,12474
161,12474
162,12474
163,12474
164,12474
165,12474
166,12474
167,12475
168,12475
187,12483
188,12483
247,12498
248,12498
262,12505
263,12505
264,12506
265,12506
266,12506
267,12506
268,12507
269,12507
270,12508
271,12508
274,12510
275,12510
276,12511
277,12511
278,12511
279,12511
280,12511
281,12511
282,12511
283,12511
284,12511
285,12511
286,12511
287,12511
308,12518
309,12518
310,12518
311,12518
351,12529
352,12529
353,12529
354,12529
407,12546
408,12546
409,12546
410,12546
435,12555
436,12555
445,12559
446,12559
447,12559
448,12559
449,12559
450,12559
451,12559
452,12559
453,12560
454,12560
455,12560
456,12560
465,12564
466,12564
467,12564
468,12564
469,12564
470,12564
477,12567
478,12567
479,12568
480,12568
496,12575
497,12575
909,12704
910,12704
911,12704
912,12704
913,12705
914,12705
953,12722
954,12722
959,12724
960,12724
961,12724
962,12724
998,12736
999,12736
1000,12737
1001,12737
1002,12737
1003,12737
1028,12747
1029,12747
1052,12754
1053,12754
1054,12754
1055,12754
1056,12755
1057,12755
1058,12755
1059,12755
1106,12774
1107,12774
1122,12781
1123,12781
1124,12781
1125,12781
1126,12782
1127,12782
1128,12782
1129,12782
1130,12783
1131,12783
1132,12783
1133,12783
1134,12784
1135,12784
1136,12784
1137,12784
1146,12789
1147,12789
1148,12789
1149,12789
1160,12792
1161,12792
1162,12793
1163,12793
1172,12798
1173,12798
1174,12798
1175,12798
1176,12799
1177,12799
1188,12803
1189,12803
1190,12804
1191,12804
1192,12805
1193,12805
1194,12806
1195,12806
1196,12807
1197,12807
1198,12808
1199,12808
1200,12808
1201,12808
1218,12815
1219,12815
1220,12815
1221,12815
1222,12816
1223,12816
1224,12817
1225,12817
1226,12818
1227,12818
1228,12819
1229,12819
1230,12819
1231,12819
1232,12819
1233,12819
1244,12824
1245,12824
1246,12824
1247,12824
1266,12831
1267,12831
1280,12837
1281,12837
1282,12838
1283,12838
1284,12839
1285,12839
1286,12839
1287,12839
1288,12840
1289,12840
1290,12841
1291,12841
1292,12842
1293,12842
1324,12855
1325,12855
1326,12856
1327,12856
1328,12856
1329,12856
1332,12858
1333,12858
1334,12858
1335,12858
1346,12864
1347,12864
1348,12865
1349,12865
1352,12867
1353,12867
1354,12868
1355,12868
1356,12869
1357,12869
1358,12870
1359,12870
1360,12871
1361,12871
1368,12874
1369,12874
1370,12875
1371,12875
1378,12879
1379,12879
1380,12879
1381,12879
1382,12880
1383,12880
1384,12880
1385,12880
1392,12884
1393,12884
1394,12885
1395,12885
1396,12886
1397,12886
1398,12887
1399,12887
1430,12901
1431,12901
1432,12902
1433,12902
1434,12902
1435,12902
1436,12903
1437,12903
1438,12904
1439,12904
1440,12905
1441,12905
1442,12905
1443,12905
1444,12906
1445,12906
1446,12906
1447,12906
1448,12907
1449,12907
1450,12907
1451,12907
1480,12917
1481,12917
1482,12917
1483,12917
1494,12923
1495,12923
1496,12923
1497,12923
1504,12927
1505,12927
1532,12940
1533,12940
1574,12960
1575,12960
1576,12961
1577,12961
1586,12965
1587,12965
1588,12965
1589,12965
1598,12969
1599,12969
1600,12970
1601,12970
1602,12971
1603,12971
1604,12972
1605,12972
1610,12974
1611,12974
1612,12975
1613,12975
1614,12976
1615,12976
1618,12978
1619,12978
1620,12978
1621,12978
1622,12979
1623,12979
1624,12979
1625,12979
1626,12980
1627,12980
1628,12980
1629,12980
1650,12991
1651,12991
1652,12991
1653,12991
1654,12992
1655,12992
1682,13002
1683,13002
1684,13002
1685,13002
1694,13005
1695,13005
1696,13005
1697,13005
1698,13006
1699,13006
1700,13006
1701,13006
1710,13009
1711,13009
1716,13012
1717,13012
1766,13032
1767,13032
1810,13043
1811,13043
1824,13047
1825,13047
1826,13047
1827,13047
1828,13047
1829,13047
1830,13047
1831,13047
1866,13058
1867,13058
1868,13058
1869,13058
1870,13058
1871,13058
1872,13058
1873,13058
1874,13059
1875,13059
1912,13073
1913,13073
1928,13078
1929,13078
1960,13092
1961,13092
2008,13111
2009,13111
2020,13117
2021,13117
2022,13118
2023,13118
2024,13119
2025,13119
2026,13120
2027,13120
2028,13121
2029,13121
2030,13122
2031,13122
2040,13127
2041,13127
2060,13134
2061,13134
2070,13136
2071,13136
2120,13154
2121,13154
2122,13155
2123,13155
2158,13166
2159,13166
2198,13175
2199,13175
2214,13181
2215,13181
2216,13181
2217,13181
2218,13182
2219,13182
2254,13196
2255,13196
2270,13202
2271,13202
2298,13212
2299,13212
2300,13212
2301,13212
2320,13218
2321,13218
2398,13242
2399,13242
2416,13250
2417,13250
2418,13250
2419,13250
2428,13253
2429,13253
2432,13255
2433,13255
2434,13256
2435,13256
2440,13259
2441,13259
2446,13262
2447,13262
2454,13266
2455,13266
2468,13272
2469,13272
2470,13272
2471,13272
2472,13272
2473,13272
2474,13272
2475,13272
2478,13274
2479,13274
2482,13276
2483,13276
2488,13279
2489,13279
2494,13281
2495,13281
2496,13282
2497,13282
2566,13304
2567,13304
2568,13305
2569,13305
2570,13305
2571,13305
2616,13310
2617,13310
2656,13329
2657,13329
2658,13329
2659,13329
2732,13354
